filename,patient,set_type,folder,bytes,width,height,mode,format,sha256,dhash
9f8514ab-3839-439e-ad8b-67ee6a6947b0.jpg,1,Train,1,319340,1350,1080,RGB,JPEG,4e1b3642672e929117b552b40a95270a948db7ff51c588b9c41b2416dc9d22f0,1100000010000000110000001100000011000000100000101000000011000000
b929a2a7-dd6e-4701-a226-f486ca2cc0e2.jpg,1,Train,1,319329,1350,1080,RGB,JPEG,658c14fc7d687ec86b07e534cde90282e0c5ec0c4339e2ff9f83e909dbd03e95,1100000010000010100000111000001100000011100000011000000011000100
fc98b211-07ed-47a9-bfc3-04cd593a2c28.jpg,1,Train,1,300721,1350,1080,RGB,JPEG,80706f3ffeff149a9d8f650edbef2c16bfaad3d209227f514f048c5e75a48fe2,1100010010000110101100111001001110001011100000111000011011011100
caa18398-192e-4c1f-bedc-c3c72a7a9180.jpg,1,Train,1,312314,1350,1080,RGB,JPEG,0048245ed7134f6d9bb2f1c51c2cf83f4bd0040498b4899f4f52e4e6837d91e8,1100001011000010110001011100000011100001110100011100101011110100
b02d8df9-e7d3-4c4a-82fa-620c3bd25c1d.jpg,1,Train,1,301317,1350,1080,RGB,JPEG,2ca992e1ec622dc8c083c8b9a52aca99dafc2912d8b77c2f87f56b7e208cbcd8,1011100000110000000100000100100001001110011001001001001010010000
2de64b53-a39e-4832-82ce-f7e9ac179ec9.jpg,1,Train,1,286021,1350,1080,RGB,JPEG,199499ca92bac313af784477a644c79b6f84d08538cfc91cc462f911b0609646,1000110010001110001011100000110001001100010110001001100011111000
ea731cec-7135-4745-8d5e-8b1a2360254a.jpg,1,Train,1,275846,1350,1080,RGB,JPEG,e8f5696d9fdccdd1c05fc071c3432e1d27519085ec38998398a8ef69b72881c9,1000100010011100000111000010111000001110000011101000111011011100
2ffd870a-aca4-4eec-a673-ff24e2a86193.jpg,1,Train,1,288966,1350,1080,RGB,JPEG,4e1900b3441de4f12fc58f44328db525d901b8a40081d3c3c35b27494ea2e50d,1000101010001010000101110000011011001110100011001001100011110000
3eef327e-ca3f-4ff6-88e7-deeb3fa1ee65.jpg,1,Train,1,262174,1350,1080,RGB,JPEG,49d52321f1e82ce23867203e2e18a50f706546e0d1e603b8fa3850a016a2119b,1000000000100011001100111111001111110000111000001110100011111000
ff78f9fd-3d1c-4ebe-a59e-b1eafaaa4c85.jpg,1,Train,1,234566,1350,1080,RGB,JPEG,e784690c51b3e3719b40885506dfc46ceed5784e647dd5bf23dd7f0f47beb37c,1011110010111000111111001111010011110100111100001111000011110000
71fc4fc5-08b4-4075-b6bd-fc1f102d8e74.jpg,1,Train,1,243913,1350,1080,RGB,JPEG,4b6468a14702fe3f544e21d5d95c06a65786e4373801cebd87ba1b8bc3cf0603,1000110000001110001011100010111000101110001111100011111010111110
5826854b-7d68-474e-8e31-bcbd48e4a7cc.jpg,1,Train,1,248681,1350,1080,RGB,JPEG,4d70333de018035e3a95e64fd6ce7105fa0f7e70d57be94208be1e13e48ba7e0,1001110000111100001111000011111000011100000111001001100010011000
7ed85654-9178-4c13-baf2-7f5ced2851ff.jpg,1,Train,1,328506,1350,1080,RGB,JPEG,7e322cf9b44dabd0545c86621bcc49618bffa7f28c19c119181ce0f0c60af7a5,1110110011101110010111100111111001011010010111000111111010111100
